dataset,sweep,rank,threshold,f1,precision,recall,tp,fp,fn
bbc,fine,135,0.166,0.9558104950074356,0.9844638949671772,0.9287778695293146,4499,71,345
bbc,fine,136,0.167,0.9554776325576454,0.9844536895117145,0.9281585466556564,4496,71,348
bbc,fine,137,0.168,0.955347650435892,0.9848750548005261,0.9275392237819984,4493,69,351
bbc,fine,138,0.169,0.9550143571200681,0.9848651019960518,0.9269199009083402,4490,69,354
bbc,fine,139,0.031,0.9547066572094437,0.9375124378109453,0.9725433526011561,4711,314,133
bbc,fine,140,0.17,0.9546712066397105,0.9850680720245938,0.926094137076796,4486,68,358
bbc,fine,141,0.171,0.9544487015751384,0.9850615114235501,0.925681255161024,4484,68,360
bbc,fine,142,0.172,0.9543276908335995,0.9852714882391734,0.9252683732452519,4482,67,362
bbc,fine,143,0.173,0.9539936102236422,0.9852617685877695,0.9246490503715937,4479,67,365
bbc,fine,144,0.174,0.9536691873468954,0.985038503850385,0.9242361684558217,4477,68,367
bbc,fine,145,0.175,0.953537936913896,0.9854625550660793,0.9236168455821635,4474,66,370
bbc,fine,146,0.03,0.9534507184780409,0.9350932909884875,0.9725433526011561,4711,327,133
bbc,fine,147,0.176,0.9531016840758899,0.9852357866901719,0.9229975227085053,4471,67,373
bbc,fine,148,0.029,0.9529970686343879,0.9336502277678749,0.9731626754748142,4714,335,130
bbc,fine,149,0.177,0.9528784648187633,0.9852292768959435,0.9225846407927333,4469,67,375
bbc,fine,150,0.178,0.9526349477277576,0.9856512141280354,0.9217588769611891,4465,65,379
bbc,fine,151,0.179,0.952289465257765,0.9858563535911602,0.9209331131296449,4461,64,383
bbc,fine,152,0.027,0.9522752497225306,0.931320307874482,0.9741948802642444,4719,348,125
bbc,fine,153,0.028,0.952236695950722,0.9320023720102787,0.9733691164327003,4715,344,129
bbc,fine,154,0.18,0.9519538757206919,0.9858469703670942,0.9203137902559868,4458,64,386
bbc,fine,155,0.181,0.9516077342164297,0.9860526898383883,0.9194880264244426,4454,63,390
bbc,fine,156,0.182,0.9509353287012293,0.986034138771891,0.9182493806771264,4448,63,396
bbc,fine,157,0.026,0.9509319899244332,0.9287541822475891,0.9741948802642444,4719,362,125
bbc,fine,158,0.025,0.950664518727346,0.9278694968553459,0.9746077621800165,4721,367,123
bbc,fine,159,0.183,0.9502514175671338,0.9862314012880302,0.916804293971924,4441,62,403
bbc,fine,160,0.024,0.9496229260935144,0.9257008429719663,0.9748142031379026,4722,379,122
bbc,fine,161,0.184,0.9492505353319057,0.9859875444839857,0.9151527663088357,4433,63,411
bbc,fine,162,0.023,0.9484784573666767,0.9235282612947389,0.9748142031379026,4722,391,122
bbc,fine,163,0.185,0.9483497642520361,0.9859625668449198,0.9135012386457473,4425,63,419
